Name;Domain;Description;CAPEC ID;Similarity;summary_th_df;summary_th_df;summary_ca_df
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-186;0.57815593;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";A CAPEC with the title Malicious Software Update. The description of this CAPEC is:An adversary uses deceptive methods to cause a user or an automated process to download and install dangerous code believed to be a valid update that originates from an adversary controlled source.. The Domains of this are: Social Engineering, Supply Chain, Software
T-SharedORU-36;enterprise-attack;Shared O-RU M-plane hijacking by DNS compromise;CAPEC-585;0.58948004;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A CAPEC with the title DNS Domain Seizure. The description of this CAPEC is:In this attack pattern, an adversary influences a target's web-hosting company to disable a target domain. The goal is to prevent access to the targeted service provided by that domain. It usually occurs as the result of civil or criminal legal interventions.. The Domain of this is: Social Engineering
T-AppLCM-07;enterprise-attack;Improper deletion of application sensitive data;CAPEC-271;0.56725746;"A Threat with the title Improper deletion of application sensitive data and the descriptionAdversary can gain access to sensitive data and secrets if an application’s data is not securely deleted. This can include access to secure artifacts such as certificates and keys.
";"A Threat with the title Improper deletion of application sensitive data and the descriptionAdversary can gain access to sensitive data and secrets if an application’s data is not securely deleted. This can include access to secure artifacts such as certificates and keys.
";A CAPEC with the title Schema Poisoning. The description of this CAPEC is:An adversary corrupts or modifies the content of a schema for the purpose of undermining the security of the target. Schemas provide the structure and content definitions for resources used by an application. By replacing or modifying a schema, the adversary can affect how the application handles or interprets a resource, often leading to possible denial of service, entering into an unexpected state, or recording incomplete data.. The Domain of this is: Software
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-66;0.5837479;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A CAPEC with the title SQL Injection. The description of this CAPEC is:This attack exploits target software that constructs SQL statements based on user input. An attacker crafts input strings so that when the target software constructs SQL statements based on the input, the resulting SQL statement performs actions other than those the application intended. SQL Injection results from failure of the application to appropriately validate input.. The Domain of this is: Software
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-443;0.572236;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";A CAPEC with the title Malicious Logic Inserted Into Product by Authorized Developer. The description of this CAPEC is:An adversary uses their privileged position within an authorized development organization to inject malicious logic into a codebase or product.. The Domains of this are: Supply Chain, Software, Hardware
T-AAL-06;enterprise-attack;Firmware attacks;CAPEC-665;0.5645474;A Threat with the title Firmware attacks and the descriptionHardware accelerators often have their own firmware, which can be targeted by attackers. This could include modifying the firmware to introduce vulnerabilities (e.g., malware) or installing a malicious firmware to extract/modify sensitive information or execute unauthorized actions (e.g., control the device remotely). ;A Threat with the title Firmware attacks and the descriptionHardware accelerators often have their own firmware, which can be targeted by attackers. This could include modifying the firmware to introduce vulnerabilities (e.g., malware) or installing a malicious firmware to extract/modify sensitive information or execute unauthorized actions (e.g., control the device remotely). ;"A CAPEC with the title Exploitation of Thunderbolt Protection Flaws. The description of this CAPEC is:
            <xhtml:p>An adversary leverages a firmware weakness within the Thunderbolt protocol, on a computing device to manipulate Thunderbolt controller firmware in order to exploit vulnerabilities in the implementation of authorization and verification schemes within Thunderbolt protection mechanisms. Upon gaining physical access to a target device, the adversary conducts high-level firmware manipulation of the victim Thunderbolt controller SPI (Serial Peripheral Interface) flash, through the use of a SPI Programing device and an external Thunderbolt device, typically as the target device is booting up. If successful, this allows the adversary to modify memory, subvert authentication mechanisms, spoof identities and content, and extract data and memory from the target device. Currently 7 major vulnerabilities exist within Thunderbolt protocol with 9 attack vectors as noted in the Execution Flow.</xhtml:p>
         . The Domains of this are: Communications, Software"
T-A1-02;enterprise-attack;Malicious function or application monitors messaging across A1 interface;CAPEC-387;0.6098552;A Threat with the title Malicious function or application monitors messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to read policy.;A Threat with the title Malicious function or application monitors messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to read policy.;A CAPEC with the title Navigation Remapping To Propagate Malicious Content. The description of this CAPEC is:An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.. The Domains of this are: Communications, Software
T-A1-03;enterprise-attack;Malicious function or application modifies messaging across A1 interface;CAPEC-387;0.5788893;A Threat with the title Malicious function or application modifies messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to modify or inject policy.  This can result in the Near-RT RIC receiving malicious policy.;A Threat with the title Malicious function or application modifies messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to modify or inject policy.  This can result in the Near-RT RIC receiving malicious policy.;A CAPEC with the title Navigation Remapping To Propagate Malicious Content. The description of this CAPEC is:An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.. The Domains of this are: Communications, Software
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-387;0.5646867;A Threat with the title Untrusted peering to the SMO and the descriptionAttacker exploits weak authentication on the SMO to establish session with a malicious app masquerading as a Shared O-RU.;A Threat with the title Untrusted peering to the SMO and the descriptionAttacker exploits weak authentication on the SMO to establish session with a malicious app masquerading as a Shared O-RU.;A CAPEC with the title Navigation Remapping To Propagate Malicious Content. The description of this CAPEC is:An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.. The Domains of this are: Communications, Software
T-VM-C-01;enterprise-attack;Abuse of a privileged VM/Container;CAPEC-480;0.6170242;"A Threat with the title Abuse of a privileged VM/Container and the descriptionIt’s possible to run VMs/Containers with unintended configurations. Such misconfigurations can help the adversaries to compromise even strongest of VM/Container isolation measures.
Such misconfigurations scenarios include:
• A VMs/Containers can be configured to have more privileges than what is actually required (e.g. settings that give it unnecessary, and perhaps unplanned, privileges). For example, an attacker with access to such a container, can use it to gain higher privileges on host, perform un-authorized operations and get to anything that the host, or any of the containers running on that host, can reach.
• A VMs/Containers have unintended read/write access to a directory on host filesystem. This could allow an attacker to perform unauthorized modifications to the contents, create symbolic links to any directories or files not directly exposed by the hostPath, install SSH keys, read secrets mounted to the host, and take other malicious actions.";"A Threat with the title Abuse of a privileged VM/Container and the descriptionIt’s possible to run VMs/Containers with unintended configurations. Such misconfigurations can help the adversaries to compromise even strongest of VM/Container isolation measures.
Such misconfigurations scenarios include:
• A VMs/Containers can be configured to have more privileges than what is actually required (e.g. settings that give it unnecessary, and perhaps unplanned, privileges). For example, an attacker with access to such a container, can use it to gain higher privileges on host, perform un-authorized operations and get to anything that the host, or any of the containers running on that host, can reach.
• A VMs/Containers have unintended read/write access to a directory on host filesystem. This could allow an attacker to perform unauthorized modifications to the contents, create symbolic links to any directories or files not directly exposed by the hostPath, install SSH keys, read secrets mounted to the host, and take other malicious actions.";A CAPEC with the title Escaping Virtualization. The description of this CAPEC is:An adversary gains access to an application, service, or device with the privileges of an authorized or privileged user by escaping the confines of a virtualized environment. The adversary is then able to access resources or execute unauthorized code within the host environment, generally with the privileges of the user running the virtualized process. Successfully executing an attack of this type is often the first step in executing more complex attacks.. The Domain of this is: Software
T-VM-C-02;enterprise-attack;VM/Container escape attack;CAPEC-480;0.59423697;"A Threat with the title VM/Container escape attack and the descriptionVNF/CNF deployed on the same physical machine as tenants share the same host kernel and host OS resources. Lack of strong isolation between the VMs/Containers and the host allows for a potential risk of a rogue VM/Container escaping the VM/Container confinement and impacting other co-hosted VMs/Containers. In others, an attacker may deploy a new malicious VM/Container configured without network rules, user limitations, etc. to bypass existing defenses within O-Cloud infrastructure.
Attacker deploys malicious VM/Container to escapes the host (Hypervisor/Container Engine/Host OS) and reaches the server’s hardware, then the malicious VM/Container can gain root access to the whole server where it resides. This gives the malicious VM/Container full control on all the VMs/Containers hosted on the same hacked server. This could allow an attacker to undermine the confidentiality, integrity and/or availability of VNFs/CNFs resources.
Containers can be deployed by various means, such as via Docker's create and start APIs or via a web application such as the Kubernetes dashboard or Kubeflow. Adversaries may deploy containers based on retrieved or built malicious images or from benign images that download and execute malicious payloads at runtime.
When a malicious VM/Container escapes isolation, it can gain full control over the underlying host and cause any of the below serious threats:
• Attacker would gain the ability to mount attacks on the host or compromise the host functionalities
• Compromise the confidentiality & integrity of co-hosted VMs/Containers and tenants
• Launch DDOS attacks on co-hosted VMs/Containers and host services thereby degrading their performance 
• Introduce new vulnerabilities in host to be used for future attacks
• Lack of network segmentation could potentially expose other VMs/Containers in the environment to attack. An example of this could be reconnaissance, exploitation and subsequent lateral movement to another host within the cluster.";"A Threat with the title VM/Container escape attack and the descriptionVNF/CNF deployed on the same physical machine as tenants share the same host kernel and host OS resources. Lack of strong isolation between the VMs/Containers and the host allows for a potential risk of a rogue VM/Container escaping the VM/Container confinement and impacting other co-hosted VMs/Containers. In others, an attacker may deploy a new malicious VM/Container configured without network rules, user limitations, etc. to bypass existing defenses within O-Cloud infrastructure.
Attacker deploys malicious VM/Container to escapes the host (Hypervisor/Container Engine/Host OS) and reaches the server’s hardware, then the malicious VM/Container can gain root access to the whole server where it resides. This gives the malicious VM/Container full control on all the VMs/Containers hosted on the same hacked server. This could allow an attacker to undermine the confidentiality, integrity and/or availability of VNFs/CNFs resources.
Containers can be deployed by various means, such as via Docker's create and start APIs or via a web application such as the Kubernetes dashboard or Kubeflow. Adversaries may deploy containers based on retrieved or built malicious images or from benign images that download and execute malicious payloads at runtime.
When a malicious VM/Container escapes isolation, it can gain full control over the underlying host and cause any of the below serious threats:
• Attacker would gain the ability to mount attacks on the host or compromise the host functionalities
• Compromise the confidentiality & integrity of co-hosted VMs/Containers and tenants
• Launch DDOS attacks on co-hosted VMs/Containers and host services thereby degrading their performance 
• Introduce new vulnerabilities in host to be used for future attacks
• Lack of network segmentation could potentially expose other VMs/Containers in the environment to attack. An example of this could be reconnaissance, exploitation and subsequent lateral movement to another host within the cluster.";A CAPEC with the title Escaping Virtualization. The description of this CAPEC is:An adversary gains access to an application, service, or device with the privileges of an authorized or privileged user by escaping the confines of a virtualized environment. The adversary is then able to access resources or execute unauthorized code within the host environment, generally with the privileges of the user running the virtualized process. Successfully executing an attack of this type is often the first step in executing more complex attacks.. The Domain of this is: Software
T-IMG-01;enterprise-attack;VM/Container images tampering;CAPEC-480;0.5602057;"A Threat with the title VM/Container images tampering and the descriptionAn attacker can inject malicious code or tamper the information inside the unprotected image during on boarding. Then after the instantiation of the VNF/CNF, the tampered code can cause DoS, information stealing, frauds and so on. There are several attacks categories belonging to this threat. Such attacks include:
• Build machine attacks: If an attacker can modify or influence the way a VM/Container image is built, they could insert malicious code that will subsequently get run in the production environment. 
• Supply chain attacks: Once the VM/Container image is built, it gets stored in a registry, and it gets retrieved or “pulled” from the registry at the point where it’s going to be run. An attacker who can replace an image or modify an image between build and deployment could run arbitrary code on your deployment. ";"A Threat with the title VM/Container images tampering and the descriptionAn attacker can inject malicious code or tamper the information inside the unprotected image during on boarding. Then after the instantiation of the VNF/CNF, the tampered code can cause DoS, information stealing, frauds and so on. There are several attacks categories belonging to this threat. Such attacks include:
• Build machine attacks: If an attacker can modify or influence the way a VM/Container image is built, they could insert malicious code that will subsequently get run in the production environment. 
• Supply chain attacks: Once the VM/Container image is built, it gets stored in a registry, and it gets retrieved or “pulled” from the registry at the point where it’s going to be run. An attacker who can replace an image or modify an image between build and deployment could run arbitrary code on your deployment. ";A CAPEC with the title Escaping Virtualization. The description of this CAPEC is:An adversary gains access to an application, service, or device with the privileges of an authorized or privileged user by escaping the confines of a virtualized environment. The adversary is then able to access resources or execute unauthorized code within the host environment, generally with the privileges of the user running the virtualized process. Successfully executing an attack of this type is often the first step in executing more complex attacks.. The Domain of this is: Software
T-HW-02;enterprise-attack;MitM attacks on the interface between virtualization layer and hardware;CAPEC-480;0.56505233;A Threat with the title MitM attacks on the interface between virtualization layer and hardware and the descriptionAn attacker can utilize the vulnerabilities of hardware (e.g. Meltdown and Specter of CPU in host) to attack virtualization layer and/or VNFs/CNFs through this interface, resulting in tampering, information disclosure or DoS.;A Threat with the title MitM attacks on the interface between virtualization layer and hardware and the descriptionAn attacker can utilize the vulnerabilities of hardware (e.g. Meltdown and Specter of CPU in host) to attack virtualization layer and/or VNFs/CNFs through this interface, resulting in tampering, information disclosure or DoS.;A CAPEC with the title Escaping Virtualization. The description of this CAPEC is:An adversary gains access to an application, service, or device with the privileges of an authorized or privileged user by escaping the confines of a virtualized environment. The adversary is then able to access resources or execute unauthorized code within the host environment, generally with the privileges of the user running the virtualized process. Successfully executing an attack of this type is often the first step in executing more complex attacks.. The Domain of this is: Software
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-136;0.6158935;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A CAPEC with the title LDAP Injection. The description of this CAPEC is:An attacker manipulates or crafts an LDAP query for the purpose of undermining the security of the target. Some applications use user input to create LDAP queries that are processed by an LDAP server. For example, a user might provide their username during authentication and the username might be inserted in an LDAP query during the authentication process. An attacker could use this input to inject additional commands into an LDAP query that could disclose sensitive information. For example, entering a * in the aforementioned query might return information about all users on the system. This attack is very similar to an SQL injection attack in that it manipulates a query to gather additional information or coerce a particular return value.. The Domain of this is: Software
T-AppLCM-02;enterprise-attack;Compromise of App/VNF/CNF update image integrity during instantiation;CAPEC-23;0.55737615;A Threat with the title Compromise of App/VNF/CNF update image integrity during instantiation and the descriptionAttacker gains access to the O-Cloud platform to modify the App/VNF/CNF update image to enable a malicious application. ;A Threat with the title Compromise of App/VNF/CNF update image integrity during instantiation and the descriptionAttacker gains access to the O-Cloud platform to modify the App/VNF/CNF update image to enable a malicious application. ;A CAPEC with the title File Content Injection. The description of this CAPEC is:An adversary poisons files with a malicious payload (targeting the file systems accessible by the target software), which may be passed through by standard channels such as via email, and standard web content like PDF and multimedia files. The adversary exploits known vulnerabilities or handling routines in the target processes, in order to exploit the host's trust in executing remote content, including binary files.. The Domain of this is: Software
T-RADIO-01;enterprise-attack;Disruption through radio jamming, sniffing and spoofing;CAPEC-599;0.57843566;"A Threat with the title Disruption through radio jamming, sniffing and spoofing and the descriptionLike for any wireless technology, disruption through radio jamming is possible by analyzing the physical downlink and uplink control channels and signals. 5G radio network is vulnerable to:
• Jamming Vulnerability of Reference Signals
• Jamming Vulnerability of Synchronization Signal
• Jamming Vulnerability of the PBCH
• Sniffing and Spoofing Vulnerability of the PBCH
• Jamming Vulnerability of PDCCH
• Jamming Vulnerability of Physical Uplink Control Channel
• Jamming Vulnerability of Physical Random-Access Channel
NOTE 1: The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.
NOTE 2: In the scenario of RF spoofing, the UE needs to be able to validate the legitimacy of the O-RU as being one owned and operated by the operator. 3GPP has proposed in a study to use Digital Signatures to mitigate this threat but there has been no agreement on this to date. The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.";"A Threat with the title Disruption through radio jamming, sniffing and spoofing and the descriptionLike for any wireless technology, disruption through radio jamming is possible by analyzing the physical downlink and uplink control channels and signals. 5G radio network is vulnerable to:
• Jamming Vulnerability of Reference Signals
• Jamming Vulnerability of Synchronization Signal
• Jamming Vulnerability of the PBCH
• Sniffing and Spoofing Vulnerability of the PBCH
• Jamming Vulnerability of PDCCH
• Jamming Vulnerability of Physical Uplink Control Channel
• Jamming Vulnerability of Physical Random-Access Channel
NOTE 1: The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.
NOTE 2: In the scenario of RF spoofing, the UE needs to be able to validate the legitimacy of the O-RU as being one owned and operated by the operator. 3GPP has proposed in a study to use Digital Signatures to mitigate this threat but there has been no agreement on this to date. The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.";A CAPEC with the title Terrestrial Jamming. The description of this CAPEC is:In this attack pattern, the adversary transmits disruptive signals in the direction of the target's consumer-level satellite dish (as opposed to the satellite itself). The transmission disruption occurs in a more targeted range. Portable terrestrial jammers have a range of 3-5 kilometers in urban areas and 20 kilometers in rural areas. This technique requires a terrestrial jammer that is more powerful than the frequencies sent from the satellite.. The Domain of this is: Communications
T-SharedORU-07;enterprise-attack;Untrusted peering to the SMO;CAPEC-510;0.56163013;A Threat with the title Untrusted peering to the SMO and the descriptionAttacker exploits weak authentication on the SMO to establish session with a malicious app masquerading as a Shared O-RU.;A Threat with the title Untrusted peering to the SMO and the descriptionAttacker exploits weak authentication on the SMO to establish session with a malicious app masquerading as a Shared O-RU.;"A CAPEC with the title SaaS User Request Forgery. The description of this CAPEC is:An adversary, through a previously installed malicious application, performs malicious actions against a third-party Software as a Service (SaaS) application (also known as a cloud based application) by leveraging the persistent and implicit trust placed on a trusted user's session. This attack is executed after a trusted user is authenticated into a cloud service, ""piggy-backing"" on the authenticated session, and exploiting the fact that the cloud service believes it is only interacting with the trusted user. If successful, the actions embedded in the malicious application will be processed and accepted by the targeted SaaS application and executed at the trusted user's privilege level.. The Domain of this is: Software"
T-GEN-02;enterprise-attack;Malicious access to exposed services using valid accounts;CAPEC-510;0.6000066;"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";"A Threat with the title Malicious access to exposed services using valid accounts and the descriptionAccess to valid accounts to use the O-Cloud services is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the network. 
Adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion. Compromised credentials may be used to bypass access controls placed on various resources on O-Cloud.
Compromised credentials may also grant an adversary increased privilege to specific O-Cloud services or access to restricted areas of the O-Cloud network. 
Access may be also gained through an exposed service that doesn’t require authentication. In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard.";"A CAPEC with the title SaaS User Request Forgery. The description of this CAPEC is:An adversary, through a previously installed malicious application, performs malicious actions against a third-party Software as a Service (SaaS) application (also known as a cloud based application) by leveraging the persistent and implicit trust placed on a trusted user's session. This attack is executed after a trusted user is authenticated into a cloud service, ""piggy-backing"" on the authenticated session, and exploiting the fact that the cloud service believes it is only interacting with the trusted user. If successful, the actions embedded in the malicious application will be processed and accepted by the targeted SaaS application and executed at the trusted user's privilege level.. The Domain of this is: Software"
T-SMO-08;enterprise-attack;Attacker exploits insecure API to gain access to SMO;CAPEC-184;0.55414975;A Threat with the title Attacker exploits insecure API to gain access to SMO and the descriptionAn insecure API may allow access to a system for an attacker to conduct remote code execution or an advanced persistent threat;A Threat with the title Attacker exploits insecure API to gain access to SMO and the descriptionAn insecure API may allow access to a system for an attacker to conduct remote code execution or an advanced persistent threat;A CAPEC with the title Software Integrity Attack. The description of this CAPEC is:An attacker initiates a series of events designed to cause a user, program, server, or device to perform actions which undermine the integrity of software code, device data structures, or device firmware, achieving the modification of the target's integrity to achieve an insecure state.. The Domains of this are: Social Engineering, Supply Chain, Software
T-SharedORU-36;enterprise-attack;Shared O-RU M-plane hijacking by DNS compromise;CAPEC-589;0.5963432;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A Threat with the title Shared O-RU M-plane hijacking by DNS compromise and the descriptionShared O-RU M-plane initialization depends on DNS, if FQDN is returned as the NETCONF controller of shared O-RU during its initialization. The name resolution of FQDN can be manipulated by an attacker using a compromised DNS server and prevent Shared O-RU from reaching carrier-active state due to unavailability of carrier configuration. This kind of attack can cause a Denial of Service on the shared O-RU.;A CAPEC with the title DNS Blocking. The description of this CAPEC is:An adversary intercepts traffic and intentionally drops DNS requests based on content in the request. In this way, the adversary can deny the availability of specific services or content to the user even if the IP address is changed.. The Domains of this are: Communications, Software
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-511;0.58700573;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";A CAPEC with the title Infiltration of Software Development Environment. The description of this CAPEC is:An attacker uses common delivery mechanisms such as email attachments or removable media to infiltrate the IDE (Integrated Development Environment) of a victim manufacturer with the intent of implanting malware allowing for attack control of the victim IDE environment. The attack then uses this access to exfiltrate sensitive data or information, manipulate said data or information, and conceal these actions. This will allow and aid the attack to meet the goal of future compromise of a recipient of the victim's manufactured product further down in the supply chain.. The Domain of this is: Supply Chain
T-AppLCM-07;enterprise-attack;Improper deletion of application sensitive data;CAPEC-548;0.5655284;"A Threat with the title Improper deletion of application sensitive data and the descriptionAdversary can gain access to sensitive data and secrets if an application’s data is not securely deleted. This can include access to secure artifacts such as certificates and keys.
";"A Threat with the title Improper deletion of application sensitive data and the descriptionAdversary can gain access to sensitive data and secrets if an application’s data is not securely deleted. This can include access to secure artifacts such as certificates and keys.
";A CAPEC with the title Contaminate Resource. The description of this CAPEC is:An adversary contaminates organizational information systems (including devices and networks) by causing them to handle information of a classification/sensitivity for which they have not been authorized. When this happens, the contaminated information system, device, or network must be brought offline to investigate and mitigate the data spill, which denies availability of the system until the investigation is complete.. The Domains of this are: Software, Hardware
T-rAPP-04;enterprise-attack;An attacker bypasses authentication and authorization;CAPEC-593;0.56863177;A Threat with the title An attacker bypasses authentication and authorization and the descriptionAn Attacker can exploit an rApp that has weak or misconfigured authentication and authorization to gain access to the rApp and pose as a tenant. ;A Threat with the title An attacker bypasses authentication and authorization and the descriptionAn Attacker can exploit an rApp that has weak or misconfigured authentication and authorization to gain access to the rApp and pose as a tenant. ;A CAPEC with the title Session Hijacking. The description of this CAPEC is:This type of attack involves an adversary that exploits weaknesses in an application's use of sessions in performing authentication. The adversary is able to steal or manipulate an active session and use it to gain unathorized access to the application.. The Domain of this is: Software
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-593;0.5765918;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A CAPEC with the title Session Hijacking. The description of this CAPEC is:This type of attack involves an adversary that exploits weaknesses in an application's use of sessions in performing authentication. The adversary is able to steal or manipulate an active session and use it to gain unathorized access to the application.. The Domain of this is: Software
